file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,5
style.css,46,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,13
style.css,47,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,31
style.css,48,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,8
style.css,49,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,50,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,51,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,6
style.css,52,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,13
style.css,53,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,30
style.css,54,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,19
style.css,55,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,56,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,57,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,7
style.css,58,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,19
style.css,59,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,13
style.css,60,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,61,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,62,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,24
style.css,63,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,13
style.css,64,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,65,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
